customerId,recommendedProducts
7259,132|37|0|34|248|3|230|110|27|32
7274,132|37|0|34|248|3|230|110|27|32
7282,132|37|0|34|248|3|230|110|27|32
7286,132|37|0|34|248|3|230|110|27|32
7299,132|37|0|34|248|3|230|110|27|32
7326,132|37|0|34|248|3|230|110|27|32
7368,132|37|0|34|248|3|230|110|27|32
7394,132|37|0|34|248|3|230|110|27|32
7412,132|37|0|34|248|3|230|110|27|32
7443,132|37|0|34|248|3|230|110|27|32
7454,132|37|0|34|248|230|110|27|32|245
7455,132|37|0|34|248|3|230|110|27|32
7505,132|37|0|34|248|3|230|110|27|32
7510,132|37|0|34|248|3|230|110|27|32
7513,132|37|0|34|248|3|230|110|27|32
7515,132|37|34|248|3|230|110|27|32|245
7522,132|37|0|34|248|3|230|110|27|32
7551,132|37|0|34|248|3|230|110|27|32
7569,132|37|0|34|248|3|230|110|27|32
7601,132|0|34|248|3|230|110|27|32|245
7625,132|37|34|248|3|230|110|27|32|245
7650,132|37|0|34|248|3|230|110|27|32
7657,132|37|0|34|248|3|230|110|27|32
7706,132|37|34|248|3|230|110|27|32|245
7714,132|37|0|34|248|3|230|110|27|32
7722,132|37|0|34|248|3|230|110|27|32
7731,132|37|0|34|248|3|230|110|27|32
7755,132|37|34|248|230|110|27|32|245|10
7777,132|37|0|34|248|3|230|110|27|32
7786,132|37|34|248|3|230|110|27|32|245
7828,132|37|0|34|248|3|230|110|27|32
7846,132|37|0|34|248|3|230|110|27|32
7855,132|37|0|34|248|3|230|110|27|32
